iter	Passed	Remaining
0	5	5062
1	11	5686
2	15	5007
3	19	4957
4	23	4696
5	27	4592
6	31	4499
7	36	4507
8	41	4583
9	45	4542
10	50	4549
11	54	4482
12	58	4404
13	63	4454
14	69	4558
15	74	4600
16	81	4696
17	86	4728
18	91	4744
19	96	4747
20	99	4617
21	106	4712
22	112	4798
23	119	4871
24	127	4968
25	134	5052
26	140	5052
27	146	5071
28	153	5133
29	160	5184
30	167	5234
31	172	5228
32	178	5237
33	185	5262
34	187	5178
35	194	5219
36	203	5296
37	210	5320
38	216	5330
39	221	5326
40	228	5345
41	233	5328
42	239	5326
43	244	5313
44	249	5289
45	254	5275
46	261	5300
47	268	5316
48	275	5355
49	282	5376
50	287	5347
51	293	5346
52	300	5366
53	309	5418
54	314	5409
55	321	5426
56	332	5493
57	351	5707
58	358	5712
59	363	5701
60	368	5673
61	373	5653
62	379	5647
63	384	5623
64	389	5602
65	395	5596
66	400	5573
67	405	5552
68	410	5536
69	414	5509
70	418	5474
71	424	5468
72	430	5461
73	433	5428
74	439	5418
75	441	5373
76	447	5366
77	452	5346
78	458	5339
79	462	5317
80	465	5284
81	471	5274
82	476	5266
83	483	5267
84	492	5296
85	496	5278
86	503	5280
87	510	5291
88	515	5272
89	519	5252
90	523	5230
91	528	5215
92	532	5196
93	536	5168
94	543	5174
95	547	5155
96	553	5151
97	555	5111
98	559	5089
99	565	5089
100	570	5074
101	575	5062
102	579	5047
103	581	5007
104	583	4973
105	586	4947
106	591	4933
107	596	4923
108	598	4889
109	602	4872
110	606	4858
111	610	4843
112	613	4815
113	617	4800
114	623	4800
115	629	4796
116	633	4779
117	634	4743
118	639	4737
119	644	4726
120	648	4708
121	650	4679
122	655	4670
123	659	4655
124	663	4647
125	669	4642
126	676	4646
127	680	4637
128	685	4631
129	688	4609
130	693	4601
131	698	4592
132	701	4575
133	704	4554
134	710	4550
135	715	4544
136	716	4516
137	719	4491
138	724	4487
139	728	4475
140	733	4467
141	738	4463
142	741	4443
143	745	4430
144	750	4423
145	755	4417
146	761	4415
147	765	4407
148	770	4402
149	772	4377
150	777	4371
151	781	4358
152	786	4352
153	791	4349
154	796	4342
155	802	4339
156	806	4328
157	810	4319
158	812	4298
159	815	4279
160	821	4282
161	826	4274
162	830	4266
163	836	4262
164	840	4255
165	845	4245
166	849	4238
167	854	4233
168	858	4222
169	860	4201
170	866	4201
171	871	4193
172	875	4185
173	879	4174
174	885	4174
175	888	4159
176	890	4141
177	895	4133
178	900	4130
179	905	4126
180	910	4119
181	914	4109
182	919	4106
183	921	4088
184	926	4082
185	931	4078
186	937	4077
187	942	4070
188	947	4067
189	953	4065
190	958	4060
191	964	4057
192	970	4059
193	976	4057
194	982	4057
195	988	4054
196	992	4045
197	997	4042
198	1003	4039
199	1007	4029
200	1011	4019
201	1017	4020
202	1022	4015
203	1027	4009
204	1033	4006
205	1037	4000
206	1042	3993
207	1046	3983
208	1051	3981
209	1057	3976
210	1062	3972
211	1067	3966
212	1071	3960
213	1076	3952
214	1081	3947
215	1086	3944
216	1090	3933
217	1095	3929
218	1101	3926
219	1105	3920
220	1109	3909
221	1114	3905
222	1119	3901
223	1124	3895
224	1128	3886
225	1133	3883
226	1140	3884
227	1145	3879
228	1151	3878
229	1157	3874
230	1162	3870
231	1168	3866
232	1172	3859
233	1177	3854
234	1183	3853
235	1188	3848
236	1193	3842
237	1199	3840
238	1203	3833
239	1208	3827
240	1214	3824
241	1218	3817
242	1223	3811
243	1231	3815
244	1236	3811
245	1243	3811
246	1249	3809
247	1255	3805
248	1260	3800
249	1265	3796
250	1270	3792
251	1275	3787
252	1282	3785
253	1287	3780
254	1292	3776
255	1297	3771
256	1301	3763
257	1308	3762
258	1318	3772
259	1325	3772
260	1330	3768
261	1337	3768
262	1343	3765
263	1353	3772
264	1360	3772
265	1366	3770
266	1372	3767
267	1381	3772
268	1387	3770
269	1395	3773
270	1402	3771
271	1408	3768
272	1415	3769
273	1421	3765
274	1428	3765
275	1433	3761
276	1439	3757
277	1445	3755
278	1450	3749
279	1456	3745
280	1464	3748
281	1480	3769
282	1511	3828
283	1516	3824
284	1525	3828
285	1533	3828
286	1539	3825
287	1545	3821
288	1550	3815
289	1556	3811
290	1562	3808
291	1568	3803
292	1574	3800
293	1580	3796
294	1587	3792
295	1591	3786
296	1597	3780
297	1601	3773
298	1606	3766
299	1612	3762
300	1617	3756
301	1623	3752
302	1629	3747
303	1634	3742
304	1642	3741
305	1646	3735
306	1652	3729
307	1658	3726
308	1662	3716
309	1667	3710
310	1672	3704
311	1677	3699
312	1682	3692
313	1687	3686
314	1693	3683
315	1698	3676
316	1703	3671
317	1709	3666
318	1714	3659
319	1719	3654
320	1724	3647
321	1729	3641
322	1734	3636
323	1740	3631
324	1745	3625
325	1751	3621
326	1760	3622
327	1764	3616
328	1771	3612
329	1780	3614
330	1787	3612
331	1792	3606
332	1796	3598
333	1801	3592
334	1806	3585
335	1811	3579
336	1816	3574
337	1823	3570
338	1828	3564
339	1831	3554
340	1836	3548
341	1841	3543
342	1848	3539
343	1853	3535
344	1859	3531
345	1864	3524
346	1868	3516
347	1875	3513
348	1880	3508
349	1885	3501
350	1891	3496
351	1896	3491
352	1901	3484
353	1907	3481
354	1910	3470
355	1915	3464
356	1918	3455
357	1924	3450
358	1927	3441
359	1932	3436
360	1938	3431
361	1943	3424
362	1948	3419
363	1955	3416
364	1959	3409
365	1965	3403
366	1971	3400
367	1977	3396
368	1983	3391
369	1990	3388
370	1993	3380
371	1997	3372
372	2003	3368
373	2009	3363
374	2012	3354
375	2018	3349
376	2024	3344
377	2028	3338
378	2033	3331
379	2039	3327
380	2044	3321
381	2046	3311
382	2049	3301
383	2054	3295
384	2058	3288
385	2063	3281
386	2069	3278
387	2074	3272
388	2079	3266
389	2085	3261
390	2091	3257
391	2095	3249
392	2100	3244
393	2106	3239
394	2111	3233
395	2117	3229
396	2122	3224
397	2128	3219
398	2133	3213
399	2139	3209
